;ML1;ML2;ML3
zung.1;0.02735073;0.014641983;0.001466086
zung.2;0.010430573;-0.004583547;-0.003610846
zung.3;0.004310269;0.01417441;0.005742716
zung.4;0.003294594;0.016882542;0.004072022
zung.5;0.008130097;0.002372288;-0.002579351
zung.6;0.012640632;-0.001737869;0.003538465
zung.7;-0.000478314;0.005376073;0.001472457
zung.8;-0.003176778;0.01388895;0.004999933
zung.9;0.003211867;0.016371176;0.002842453
zung.10;0.004358979;0.016532368;0.009886557
zung.11;0.023381631;0.011469808;-0.006847376
zung.12;0.028883396;0.001992878;-0.004862131
zung.13;-5.75026E-05;0.035436308;-0.002075423
zung.14;0.031907243;-0.016459305;0.001559522
zung.15;0.013229022;0.021363458;-0.002190197
zung.16;0.025304024;4.85213E-05;0.006464427
zung.17;0.053232634;-0.00456228;-0.003266877
zung.18;0.034650023;-0.010403297;-0.002555
zung.19;0.013933071;0.005287082;0.002386698
zung.20;0.037493907;-0.002408593;-0.00208525
anxiety.1;0.045418988;-0.014064081;0.002821872
anxiety.2;0.013506549;0.023931918;0.007375084
anxiety.3;0.053007451;-0.009579832;0.005138538
anxiety.4;0.018127349;0.007107791;0.008381014
anxiety.5;0.034755502;0.001967961;0.009225893
anxiety.6;0.01505348;0.005422901;0.00034489
anxiety.7;0.022524682;0.006328557;0.001953471
anxiety.8;0.028662898;0.021462479;-0.001041368
anxiety.9;0.006931744;0.0242711;0.008593362
anxiety.10;0.052513661;-0.013385695;0.004501357
anxiety.11;0.007363864;0.031623282;-0.001827738
anxiety.12;0.02456499;0.002969005;0.026341152
anxiety.13;0.037394667;-0.00341179;0.014281193
anxiety.14;0.020560899;-0.005105806;0.007092409
anxiety.15;0.025884833;0.009109464;0.013999285
anxiety.16;0.038188353;-0.00620576;4.01921E-05
anxiety.17;0.006644605;0.033814252;0.002933715
anxiety.18;0.012960802;0.016351093;0.008606809
anxiety.19;0.031786254;0.010562001;-0.003344092
anxiety.20;0.012452584;0.028922546;0.008784605
ocir.1;0.000776255;0.022151065;-0.005490384
ocir.2;-0.003154735;0.028018466;0.003329648
ocir.3;-0.01063733;0.02394657;0.012288297
ocir.4;-0.007499757;0.030245391;-0.002344826
ocir.5;-0.008974494;0.020893212;0.01456798
ocir.6;0.006101592;0.052176078;-0.004631098
ocir.7;0.001272894;0.028425633;-0.004231622
ocir.8;-0.006799266;0.025240485;0.006365695
ocir.9;-0.012252282;0.029437764;0.017642077
ocir.10;-0.007032448;0.025189676;0.004205371
ocir.11;-0.007482235;0.029241424;0.008121022
ocir.12;-0.000553482;0.045606122;0.004820008
ocir.13;-0.003213572;0.025288333;0.006022874
ocir.14;-0.005545036;0.017271813;0.00648336
ocir.15;-0.012611382;0.02558235;0.012036822
ocir.16;-0.007528329;0.029497417;0.004169881
ocir.17;-0.006371224;0.025786352;0.003177291
ocir.18;0.006478931;0.044317822;-0.00301335
leb.1;-0.004390173;0.008310248;0.033196715
leb.2;0.001809572;-0.008406205;0.059434918
leb.3;-0.002910581;0.006436785;0.030072073
leb.4;-0.002391918;-0.002980225;0.026380351
leb.5;0.004101788;0.001926607;0.02899188
leb.6;-0.002977007;-0.007924079;0.043841357
leb.7;-0.000937692;-0.01214972;0.074739401
leb.8;-0.003843963;0.006926276;0.041705726
leb.9;-0.004537007;0.003060078;0.031434342
leb.10;-0.003953004;0.002723112;0.047413305
leb.11;-0.007981851;-0.007293268;0.089383005
leb.12;-0.003774989;-0.012401684;0.088097512
leb.13;-0.005175743;0.005781345;0.012997507
leb.14;-0.010310067;0.006086851;0.052493967
leb.15;-0.005325674;-0.017452492;0.085782462
leb.16;-0.006761431;-0.011520461;0.085394487
leb.17;0.000942498;-0.001154365;0.015736389
leb.18;-0.004588982;-0.008212277;0.052265692
leb.19;-0.001814074;0.003454639;0.033051942
leb.20;-0.004200504;-0.01380523;0.064071692
leb.21;-0.000451844;0.002140198;0.028645307
leb.22;-0.002927199;0.002202871;0.032145146
leb.23;-0.002436175;-0.007304104;0.049032254
leb.24;-0.003493681;0.000195409;0.031760047
bis.1;0.028456926;-0.007952678;-0.021393357
bis.2;0.012032787;0.016855866;-0.01777817
bis.3;-0.006942854;0.005217649;-0.006780374
bis.4;-0.018225818;0.01636406;-0.009192279
